From,About,Sentiment
Jenna,Colby,Friend
Jenna,Stephenie,Friend
Jenna,Cirie,Foe
Jenna,Ozzy,Friend
Jenna,Coach,Foe
Jenna,Aubry,Leaning positive
Jenna,Chrissy,Foe
Jenna,Angelina,Friend
Jenna,Christian,Leaning positive
Jenna,Mike,Leaning positive
Jenna,Rick,Leaning negative
Jenna,Jonathan,Friend
Jenna,Dee,Foe
Jenna,Emily,Friend
Jenna,Charlie,Friend
Jenna,Q,Friend
Jenna,Tiffany,Leaning positive
Jenna,Genevieve,50/50
Jenna,Joe,Friend
Jenna,Kamilla,Friend
Jenna,Kyle,Friend
Jenna,Rizo,Friend
Jenna,Savannah,Friend
Colby,Jenna,Friend
Colby,Stephenie,Friend
Colby,Cirie,Friend
Colby,Ozzy,Friend
Colby,Coach,Friend
Colby,Aubry,Leaning positive
Colby,Chrissy,50/50
Colby,Angelina,Foe
Colby,Christian,Leaning negative
Colby,Mike,50/50
Colby,Rick,Friend
Colby,Jonathan,Friend
Colby,Dee,Foe
Colby,Emily,Friend
Colby,Charlie,50/50
Colby,Q,Foe
Colby,Tiffany,50/50
Colby,Genevieve,Friend
Colby,Joe,Friend
Colby,Kamilla,Foe
Colby,Kyle,Friend
Colby,Rizo,Leaning negative
Colby,Savannah,Friend
Stephenie,Jenna,Friend
Stephenie,Colby,Friend
Stephenie,Cirie,Friend
Stephenie,Ozzy,Friend
Stephenie,Coach,Friend
Stephenie,Aubry,Friend
Stephenie,Chrissy,Friend
Stephenie,Angelina,50/50
Stephenie,Christian,Leaning positive
Stephenie,Mike,Leaning positive
Stephenie,Rick,Friend
Stephenie,Jonathan,Friend
Stephenie,Dee,Friend
Stephenie,Emily,Friend
Stephenie,Charlie,50/50
Stephenie,Q,Foe
Stephenie,Tiffany,Foe
Stephenie,Genevieve,Friend
Stephenie,Joe,Friend
Stephenie,Kamilla,Leaning positive
Stephenie,Kyle,Leaning positive
Stephenie,Rizo,50/50
Stephenie,Savannah,50/50
Cirie,Jenna,Leaning positive
Cirie,Colby,Leaning positive
Cirie,Stephenie,50/50
Cirie,Ozzy,Leaning positive
Cirie,Coach,Friend
Cirie,Aubry,Friend
Cirie,Chrissy,Friend
Cirie,Angelina,Friend
Cirie,Christian,50/50
Cirie,Mike,50/50
Cirie,Rick,Leaning positive
Cirie,Jonathan,Friend
Cirie,Dee,Leaning negative
Cirie,Emily,Friend
Cirie,Charlie,50/50
Cirie,Q,Leaning negative
Cirie,Tiffany,Leaning positive
Cirie,Genevieve,Leaning negative
Cirie,Joe,Leaning positive
Cirie,Kamilla,50/50
Cirie,Kyle,Foe
Cirie,Rizo,Foe
Cirie,Savannah,Foe
Ozzy,Jenna,Friend
Ozzy,Colby,Friend
Ozzy,Stephenie,Friend
Ozzy,Cirie,Friend
Ozzy,Coach,Leaning positive
Ozzy,Aubry,50/50
Ozzy,Chrissy,Friend
Ozzy,Angelina,Leaning negative
